,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,157.2712,159.2892,163.5266,167.4427,824.4019,854.5102,873.4267,901.4355,919.4357,
5.17,161.1485,160.4024,161.8906,162.4590,818.2645,838.5794,863.5396,881.3510,928.3419,
45.20,158.6000,159.6060,163.2446,166.9503,805.9106,815.9127,842.3564,854.1759,891.5203,
103.23,159.1897,153.8527,164.4359,162.0411,751.7096,783.8071,809.6505,831.4202,845.5707,
171.26,156.6813,157.1154,162.8659,158.6589,723.0019,743.8806,757.6356,791.1918,809.3284,
259.29,152.7384,153.3256,158.0152,164.3357,671.6861,704.0874,728.7900,753.3267,759.7515,
377.32,150.0791,158.0114,158.5700,163.1867,626.6378,651.4162,682.0281,700.9788,716.8562,
545.35,152.3770,153.4661,156.1082,155.8397,592.1186,612.7856,640.1645,642.7420,658.1862,
763.38,145.8220,148.9725,147.8059,155.1648,552.7598,576.2570,580.7987,606.3996,615.6716,
981.41,147.7375,143.5154,146.3959,151.0169,530.6041,544.4193,552.4522,574.4700,589.8667,
1199.44,143.3842,147.7976,144.9941,147.2507,524.5333,523.3051,540.8226,559.0240,560.8422,
1417.47,136.7213,140.7233,148.0121,145.4807,506.4547,511.6608,522.9757,544.8245,548.3994,
1715.50,320.2770,319.9809,328.1795,322.5139,685.3534,678.6620,698.3220,705.8037,717.0889,
1740.50,261.8515,263.0276,261.3974,265.2001,614.3427,628.2731,639.9939,653.6008,646.7535,
1840.50,161.8743,161.8145,162.9717,167.5434,514.6502,523.5854,532.7211,542.3879,551.0566,
2040.50,33.4510,31.7439,34.5203,34.1996,382.8810,399.3060,404.6577,423.2630,423.8951,
2340.50,-123.4014,-117.3533,-119.4154,-115.1497,228.4402,237.9709,248.7672,254.5628,273.0522,
