,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,157.9986,160.3019,162.2714,162.5803,818.2504,847.2184,859.7588,886.5843,910.5834,
5.17,151.8596,158.7499,163.2639,160.8689,814.3993,845.6465,847.9173,882.7490,913.1977,
45.20,156.3669,157.0510,162.2231,164.2874,788.6256,803.8374,833.0279,859.2555,871.6906,
103.23,150.4048,157.1620,151.0845,161.0881,760.1730,768.7567,803.6131,815.2750,848.5006,
171.26,151.6996,156.1463,159.4879,162.9313,707.3490,732.6976,752.3422,781.2831,787.2146,
259.29,149.6070,154.4752,157.1823,157.4969,664.4819,693.4383,718.0441,742.9576,756.6553,
377.32,150.8129,152.0059,154.1886,156.4829,625.9407,645.2407,670.7089,683.5667,705.5940,
545.35,141.6253,148.4768,148.5074,151.8371,583.8107,600.5930,630.8227,645.5985,658.0214,
763.38,144.5212,146.4182,143.0750,154.6305,543.0781,571.5620,580.0043,571.7268,608.8884,
981.41,140.8161,143.4868,149.2543,146.6021,521.7429,525.9777,557.6539,554.8166,585.3844,
1199.44,141.0993,143.1606,145.2032,145.5093,511.3409,523.4185,534.2682,537.0216,551.9317,
1417.47,140.1822,135.3045,144.0689,142.2348,497.9553,492.0580,513.5485,523.2745,541.4996,
1715.50,321.6086,322.5323,320.0061,326.2595,659.1722,677.9581,684.0852,694.5799,704.7769,
1740.50,258.5517,258.0454,262.7638,263.0859,606.3256,632.0281,626.8685,652.8876,655.8261,
1840.50,158.2041,160.7194,162.9135,162.3330,509.3049,529.2176,527.3403,539.6728,540.5620,
2040.50,26.1151,28.0171,27.7390,33.2122,382.7892,385.5184,388.3784,400.8160,411.5392,
2340.50,-125.2174,-124.6724,-122.2093,-118.0202,228.7820,234.1624,240.5890,246.7805,257.5655,
