,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,136.8076,140.1492,143.4502,145.2436,791.5345,805.2566,829.3962,852.8067,876.4054,
5.17,136.1618,144.7329,143.4114,146.5590,780.4123,799.3366,818.9479,848.5081,874.0936,
45.20,140.5875,140.1815,143.6820,138.1245,741.0729,777.4077,808.5879,833.3936,844.2346,
103.23,130.8530,134.8330,139.0220,142.3475,708.2259,736.0456,756.9470,783.3224,806.0643,
171.26,132.6541,136.5098,139.8542,142.5659,657.9904,697.7561,723.1428,741.5317,759.2970,
259.29,133.4980,134.9932,137.2469,138.2839,636.7225,657.3986,689.1381,709.2515,715.9549,
377.32,133.8981,133.8533,133.5880,138.8389,594.2157,611.6917,626.8496,647.3204,679.8398,
545.35,128.7941,129.2456,132.7440,134.8852,544.4483,580.0741,580.7824,595.0242,606.9794,
763.38,124.8965,128.7153,129.6696,136.3793,514.7445,525.5793,537.6830,556.1397,578.9118,
981.41,123.7681,128.9779,129.0437,136.1560,480.5307,499.3739,506.8296,531.6636,542.9389,
1199.44,121.3042,125.3857,129.4844,131.0373,467.0668,470.1736,494.6306,506.0684,517.5224,
1417.47,120.0166,119.0655,126.5487,123.5320,462.7109,473.3234,474.2001,479.9345,510.1789,
1715.50,302.3019,305.9939,298.5224,306.8628,633.9615,643.2924,651.2569,661.1418,684.9051,
1740.50,239.3251,242.3750,242.7692,244.6231,587.4369,580.7132,601.6097,598.2628,600.3854,
1840.50,141.9837,144.8855,142.6222,144.6185,469.9484,487.4206,486.3963,498.3403,520.9375,
2040.50,10.7066,12.1817,10.2722,12.3246,338.8945,344.3215,341.7009,371.6080,390.1445,
2340.50,-144.9273,-139.2423,-140.6428,-132.7602,186.8236,209.3364,198.6227,216.3372,220.6410,
