,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,140.7136,150.7130,149.1060,150.7139,808.0979,817.0650,847.0209,864.7448,895.3236,
5.17,143.6231,146.0259,153.0708,150.7611,795.2250,808.6077,841.5488,857.6101,894.1580,
45.20,141.6955,147.3438,144.6425,149.3212,765.9263,793.5081,810.0469,835.4662,856.2120,
103.23,139.2905,144.2000,147.3041,151.9869,731.2187,748.4883,778.5025,793.2680,818.6464,
171.26,143.9787,146.9469,147.0683,148.2365,686.5661,712.0712,727.2660,768.3418,779.1636,
259.29,139.9063,139.1847,142.5523,147.9531,650.0357,675.5568,687.9784,714.8590,735.4681,
377.32,138.3064,139.2106,143.5743,144.3865,617.9003,629.3788,650.4226,664.6983,696.0806,
545.35,136.0636,140.0935,141.9183,140.8964,557.2625,575.4476,610.7926,616.6845,634.9676,
763.38,134.7081,140.3959,139.5324,139.4858,519.4905,540.6893,543.1391,577.6116,581.9543,
981.41,132.3074,134.5035,135.9685,140.7549,500.0929,513.2498,522.9754,539.7530,560.5068,
1199.44,130.5959,132.1254,133.5084,136.8558,489.7302,490.4177,521.2641,518.1840,539.8845,
1417.47,129.2514,130.1639,130.4469,136.8078,473.7981,488.8539,491.7816,509.5413,524.4168,
1715.50,306.8031,309.1642,307.7740,313.2492,642.9717,660.3618,681.1291,676.9024,693.0262,
1740.50,252.6740,249.8518,252.4447,254.4599,589.3388,592.1170,606.4671,624.6663,636.7416,
1840.50,146.0989,150.0530,152.8173,155.7147,489.4315,498.6375,506.7480,502.2226,517.1120,
2040.50,16.0799,24.7842,23.1096,22.8842,360.8081,368.6085,378.6277,382.7115,382.3609,
2340.50,-134.6198,-134.4831,-126.5698,-125.8682,208.9913,212.5343,221.8306,221.8058,242.3699,
