,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,152.6601,158.0600,159.5741,159.0673,809.6808,835.6001,870.0038,881.6074,900.4054,
5.17,152.6701,157.2911,153.4015,159.6989,805.5069,827.2054,846.4580,874.6732,904.8767,
45.20,152.4629,158.7276,156.9426,159.3742,781.5735,807.9075,833.1461,856.2036,871.6115,
103.23,149.5586,153.0333,155.2125,152.6483,739.0512,767.8479,793.3807,813.7174,840.3658,
171.26,149.7572,150.7180,155.2162,156.7392,708.6495,738.8024,754.7598,780.7805,792.1914,
259.29,148.7051,150.7574,152.4454,157.9828,664.0689,687.9871,713.9803,734.7703,756.3441,
377.32,146.4112,148.4342,149.1482,149.3792,631.6579,641.5679,656.7168,682.1448,720.2034,
545.35,143.8904,149.9371,148.8650,153.0965,582.7803,591.6520,612.4842,625.1650,656.3937,
763.38,140.9513,145.0119,145.9411,148.9881,545.7817,550.0265,570.2861,575.0798,617.7834,
981.41,141.7195,139.8539,138.1705,145.2778,513.5825,530.0519,548.8490,561.7723,574.2072,
1199.44,140.7578,139.0224,141.5555,147.2509,495.0522,513.0201,533.4407,538.8279,549.5539,
1417.47,138.5717,136.4690,141.8674,140.5702,508.6059,502.2235,522.6881,525.9247,531.4471,
1715.50,317.5230,318.8137,322.0272,322.5615,670.5061,681.4782,692.6277,698.4301,708.2955,
1740.50,252.2919,257.5803,257.2098,253.8632,609.7491,620.2412,621.4162,628.6102,657.5648,
1840.50,155.1701,161.2762,153.9962,160.2843,503.0568,515.6322,527.5593,541.7782,552.2833,
2040.50,27.2024,23.2000,28.0730,30.7109,372.4470,387.0220,392.1214,401.7331,412.4953,
2340.50,-124.6242,-127.5000,-121.3183,-118.2051,227.9391,241.8912,234.1468,255.9532,259.8260,
