,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,148.4929,151.3034,153.9013,156.2805,801.8625,841.5066,856.7011,876.2137,899.7045,
5.17,150.4176,149.2722,153.4120,155.4439,800.6005,817.9022,857.9036,882.3484,887.0060,
45.20,148.0644,153.0528,150.0315,149.1343,767.7111,798.6369,822.1287,858.4539,871.1442,
103.23,147.3265,150.4823,155.5084,155.0731,740.7783,757.1933,793.0599,798.5781,829.6871,
171.26,143.7958,143.7269,147.7321,155.7941,698.5121,730.2290,738.9223,759.9111,787.5731,
259.29,149.8354,141.6616,148.6664,148.7842,658.2702,677.2630,710.4765,732.4968,754.1366,
377.32,140.7590,141.2793,144.1830,150.2194,614.6624,638.6896,652.2425,687.5964,694.3392,
545.35,139.9815,139.4988,141.8851,141.4010,577.6331,587.3260,610.9914,621.4018,643.5746,
763.38,135.5643,140.9693,138.9201,143.2845,532.2793,550.4555,568.5434,578.1475,594.2861,
981.41,133.1344,133.8567,140.0851,140.8744,510.0229,522.0435,536.0079,543.1564,558.8694,
1199.44,132.6387,136.3500,138.7997,142.5598,492.4252,506.4741,509.4716,537.3614,552.1002,
1417.47,128.0817,130.8316,138.0403,141.3353,478.3439,491.1078,511.0066,523.4667,530.9569,
1715.50,305.7603,317.5233,315.3332,317.3745,658.7265,665.7622,678.7332,672.2236,707.1819,
1740.50,246.5094,249.8144,250.7899,253.8502,610.6152,603.8765,618.7402,624.0426,635.3678,
1840.50,150.8709,151.4554,153.2479,162.3272,494.4806,505.9265,524.9393,527.0660,534.3716,
2040.50,18.4661,21.5525,18.0457,32.8425,376.9600,370.5905,384.7847,393.6286,410.7940,
2340.50,-129.9315,-132.2329,-128.2858,-120.9822,199.8453,225.5348,225.3580,248.1094,245.4520,
