,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,146.2935,146.8767,153.5073,151.7120,795.2680,819.8080,854.8221,854.0748,887.3929,
5.17,141.0456,148.7684,144.8826,146.1779,785.6834,803.7274,831.0941,859.2058,888.6326,
45.20,139.0353,144.4379,152.2254,147.0685,761.6702,789.4271,805.5053,833.7742,857.2013,
103.23,137.8813,143.5607,148.2687,150.9475,717.7899,750.7193,768.5491,800.4323,816.6008,
171.26,141.3744,140.1652,145.2979,149.2854,700.3670,702.6803,739.5551,756.7055,770.5004,
259.29,141.2555,140.1017,143.2024,145.9446,649.3804,664.6107,683.8824,714.2701,736.2870,
377.32,137.5520,135.2227,146.3477,144.2746,615.0592,623.4043,653.9865,662.5668,688.6812,
545.35,133.3514,134.9915,137.9470,142.9824,556.9998,573.9890,593.2814,609.8123,631.9719,
763.38,132.9988,133.1546,138.6328,135.4274,521.4265,536.0159,543.9468,586.4429,578.4639,
981.41,129.3404,132.7342,135.7609,139.9530,503.9318,507.4416,522.4730,539.8569,565.5384,
1199.44,124.1956,127.2968,133.5418,133.7060,484.8601,497.5468,507.3920,515.8365,516.2783,
1417.47,129.1293,128.1927,131.6395,132.2877,476.5687,496.8870,498.5470,510.4394,513.2052,
1715.50,306.8155,310.5740,312.8038,308.3796,647.7427,660.1660,650.6166,671.2300,685.4155,
1740.50,247.0751,248.6891,251.0673,247.6323,591.9737,596.9786,598.0288,610.5994,627.4297,
1840.50,142.9899,152.6324,142.0546,151.1799,485.7878,489.1997,507.9563,519.9679,520.5501,
2040.50,13.0741,14.6179,20.2848,15.2879,348.5578,355.0264,369.9688,387.7164,390.4491,
2340.50,-138.0685,-129.9927,-138.7827,-128.5997,201.2097,209.5923,203.6160,233.1542,243.8578,
