,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,143.1252,143.4451,148.9289,149.0878,797.8969,819.8679,842.7796,867.7992,895.6838,
5.17,141.5182,140.5197,150.1802,150.5137,796.0043,810.4194,828.6297,857.7765,878.4964,
45.20,145.2159,145.4011,145.7483,148.8637,765.3019,777.0895,802.0019,825.6843,842.9538,
103.23,140.0705,146.0873,147.1645,149.0587,730.7039,751.0697,770.3154,808.9410,818.5351,
171.26,142.1540,138.1301,142.3863,147.5382,693.5814,708.2339,740.1506,748.1912,775.0175,
259.29,139.0861,137.0729,141.1355,145.0707,662.5076,685.4188,696.0320,704.4024,726.3092,
377.32,136.7400,137.4964,141.1912,143.3481,596.8733,626.2008,653.1269,665.5824,691.1359,
545.35,133.2771,134.0043,138.8489,144.1532,554.2726,575.9408,580.5807,611.1088,632.3062,
763.38,128.1062,131.0293,138.6999,136.5187,519.3049,546.9088,563.6367,572.5877,588.2049,
981.41,130.9811,136.3426,131.7612,138.0030,499.9822,512.1730,532.9490,549.0688,551.3449,
1199.44,125.9312,129.0553,131.1932,140.2342,488.9014,497.3328,507.9818,518.1693,522.1344,
1417.47,128.8072,128.4212,134.3272,131.7878,482.1651,498.6640,503.8670,501.0347,525.7128,
1715.50,303.7455,303.7235,310.8124,310.9537,649.9855,653.5802,662.7002,679.2754,684.1889,
1740.50,247.4443,243.7302,254.4863,250.1716,594.4449,586.1216,604.7703,622.1714,622.8855,
1840.50,145.3625,143.7891,149.6180,148.5637,488.9772,496.8499,493.4191,513.1413,531.7766,
2040.50,15.3344,14.7047,19.0820,16.8176,347.7340,366.0584,366.5637,378.4480,391.2204,
2340.50,-138.8692,-133.9442,-132.8661,-132.4238,197.5217,208.5779,213.4813,231.7953,236.4742,
