,E 5,E 6,E 7,E 8,E 9,E 10,E 11,E 12,E 13,
-34.86,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
-24.86,136.5959,141.0171,141.2502,141.0541,774.8918,796.5050,828.8120,844.1868,880.5658,
5.17,134.5936,137.3978,139.0154,137.9424,775.5418,796.5495,817.3020,845.5883,878.7760,
45.20,128.9683,139.3894,137.6772,143.1478,742.5398,772.5865,796.4991,819.2794,849.2909,
103.23,130.9267,134.6741,135.3158,140.6890,702.2789,725.9475,744.0869,779.2552,808.0822,
171.26,131.1435,133.1542,133.2123,133.4001,673.3093,708.1979,710.6014,734.6246,770.2846,
259.29,136.1494,129.0612,133.1257,132.6861,629.7236,650.8162,679.4501,694.5318,722.5321,
377.32,127.7364,131.5590,131.8132,138.8752,593.4678,618.2655,641.9361,655.2623,669.3754,
545.35,125.9870,126.7868,127.3385,130.0054,548.1569,562.6090,589.4253,602.4243,624.5793,
763.38,122.0953,122.2227,124.4202,130.5772,511.6202,521.3782,542.8733,553.1492,572.8154,
981.41,119.5410,128.3610,124.0716,132.1621,483.6855,506.3999,505.3990,519.2069,535.8716,
1199.44,118.0179,120.0991,119.8810,125.0500,461.6651,490.1813,499.3362,514.3628,515.5959,
1417.47,125.9489,119.0166,123.4545,124.4034,453.6777,465.4044,485.3047,496.2086,506.2997,
1715.50,297.5807,295.9100,301.0167,303.3886,634.9590,647.0569,648.6609,665.5825,675.0074,
1740.50,238.0033,238.1485,240.5396,241.1730,578.5527,573.6539,596.8226,600.5968,612.8914,
1840.50,138.9415,138.8402,140.5854,141.7651,461.9146,477.1958,492.5694,499.8934,510.6437,
2040.50,5.4779,5.1940,8.6733,12.4179,330.5276,342.6029,355.6933,361.9130,359.3234,
2340.50,-146.6559,-142.9155,-141.0758,-138.8703,192.8027,186.2879,205.0039,202.4321,226.0654,
